238.837,238.44,239.16,238.04
238.51,237.65,238.51,237.65
238.005,237.26,238.005,236.89
237.8,238.17,238.17,237.41
238.045,238.291,238.3,238.01
238.61,238.24,238.635,238.24
238.17,237.675,238.17,237.675
238.39,238.56,238.56,238.33
238.65,238.53,239.03,238.44
238.741,238.69,238.87,238.69
238.74,238.445,238.79,238.305
238.35,238.21,238.35,238.21
238.595,238.59,238.595,238.52
238.62,238.75,238.81,238.62
238.66,238.85,238.85,238.52
238.84,238.705,238.86,238.695
238.45,238.21,238.465,238.21
238.21,238.16,238.21,237.94
238.11,238.11,238.11,238.11
238.165,237.915,238.165,237.86
237.91,238.22,238.32,237.91
238.465,238.42,238.465,238.38
238.375,238.355,238.375,238.28
238.7,238.67,238.75,238.67
238.75,238.62,238.75,238.49
238.81,238.75,238.81,238.75
239.005,239.09,239.22,239.005
239.26,238.7,239.26,238.7
238.86,238.85,238.86,238.84
238.97,238.835,239.01,238.78
238.68,238.37,238.7,238.37
238.48,238.48,238.48,238.48
238.29,238.245,238.29,238.245
238.315,238.68,238.68,238.315
238.8,238.845,238.845,238.8
238.74,238.83,238.83,238.74
238.93,238.76,238.93,238.76
238.85,238.81,238.875,238.81
238.74,238.81,238.81,238.74
238.935,238.935,238.935,238.935
238.56,238.27,238.64,238.27
238.27,238.085,238.27,238.085
238.18,238.17,238.18,238.17
238.1,237.52,238.1,237.52
237.5,237.6,237.6,237.5
237.47,237.565,237.565,237.47
238.01,237.71,238.01,237.71
237.55,237.59,237.6,237.535
237.66,237.67,237.71,237.57
237.635,237.65,237.65,237.525
237.57,237.49,237.57,237.315
237.52,237.49,237.55,237.375
237.53,237.5,237.53,237.41
237.55,237.695,237.695,237.55
237.88,237.935,237.935,237.87
238.07,237.7,238.07,237.7
237.75,237.75,237.75,237.75
237.86,237.93,237.93,237.855
237.93,237.93,237.93,237.93
237.685,237.685,237.685,237.685
237.97,238,238,237.97
238.07,237.89,238.07,237.89
237.875,237.92,237.92,237.875
237.835,237.835,237.835,237.835
237.945,237.945,237.945,237.945
237.55,237.69,237.69,237.55
237.69,237.69,237.69,237.69
237.85,237.85,237.85,237.85
238.09,238.09,238.09,238.09
237.955,238,238,237.95
238.015,238.005,238.115,237.995
238.17,238.17,238.17,238.17
237.755,237.755,237.755,237.755
237.91,237.91,237.91,237.91
238.11,238.13,238.13,238.11
238.04,238.08,238.08,238.04
237.85,237.85,237.85,237.85
237.945,237.945,237.945,237.945
237.92,237.71,237.925,237.71
237.98,238.04,238.04,237.98
238.04,238.175,238.175,238.04
238.245,238.09,238.245,238.09
237.88,237.82,237.88,237.82
237.89,237.89,237.89,237.89
237.79,237.61,237.79,237.61
237.6,237.63,237.65,237.6
237.62,237.62,237.62,237.62
237.5,237.355,237.5,237.355
237.57,237.57,237.57,237.57
237.71,237.405,237.71,237.405
237.23,237.26,237.26,237.19
237.495,237.495,237.495,237.495
237.46,237.46,237.46,237.46
237.75,237.66,237.75,237.66
237.79,238.16,238.16,237.79
237.85,237.85,237.85,237.85
237.845,237.82,237.845,237.82
237.85,237.765,237.85,237.765
237.655,237.655,237.655,237.655
237.63,237.62,237.63,237.62
237.69,237.69,237.69,237.69
237.615,237.615,237.615,237.615
237.675,237.675,237.675,237.675
237.71,237.71,237.71,237.71
237.89,237.89,237.89,237.89
237.75,237.74,237.75,237.74
237.735,237.64,237.75,237.64
237.685,237.685,237.685,237.685
237.65,237.615,237.65,237.58
237.61,237.64,237.64,237.605
237.545,237.115,237.545,237.115
